Date,Open,High,Low,Close,Volume,Daily_Return_Pct,Daily_Range,MA_20,MA_50,MA_200,EMA_12,EMA_26,MACD,MACD_Signal,BB_Upper,BB_Lower,BB_Width,RSI_14,Volume_MA_20,Cumulative_Return_Pct,Year,Month,Quarter,Day_of_Week
1980-01-02,0.1937,0.1944,0.1895,0.1895,3451200,,0.0049,,,,0.1895,0.1895,0.0,0.0,,,,,,0.0,1980,1,1,Wednesday
1980-01-03,0.1895,0.1951,0.1881,0.1944,3960000,2.5858,0.007,,,,0.1903,0.1899,0.0004,0.0001,,,,,,2.59,1980,1,1,Thursday
1980-01-04,0.1944,0.1965,0.1937,0.1965,1694400,1.0802,0.0028,,,,0.1912,0.1904,0.0008,0.0002,,,,,,3.69,1980,1,1,Friday
1980-01-07,0.1965,0.1972,0.1951,0.1958,4396800,-0.3562,0.0021,,,,0.1919,0.1908,0.0011,0.0004,,,,,,3.32,1980,1,1,Monday
1980-01-08,0.1958,0.1979,0.1958,0.1972,3244800,0.715,0.0021,,,,0.1927,0.1912,0.0015,0.0006,,,,,,4.06,1980,1,1,Tuesday
1980-01-09,0.1972,0.2007,0.1965,0.1986,11568000,0.7099,0.0042,,,,0.1936,0.1918,0.0018,0.0009,,,,,,4.8,1980,1,1,Wednesday
1980-01-10,0.1986,0.2007,0.1972,0.1986,19444800,0.0,0.0035,,,,0.1944,0.1923,0.0021,0.0011,,,,,,4.8,1980,1,1,Thursday
1980-01-11,0.1986,0.2021,0.1979,0.1993,6240000,0.3525,0.0042,,,,0.1952,0.1928,0.0024,0.0014,,,,,,5.17,1980,1,1,Friday
1980-01-14,0.1993,0.2007,0.1965,0.1986,2145600,-0.3512,0.0042,,,,0.1957,0.1932,0.0025,0.0016,,,,,,4.8,1980,1,1,Monday
1980-01-15,0.1986,0.1986,0.1937,0.1951,7560000,-1.7623,0.0049,,,,0.1956,0.1934,0.0022,0.0017,,,,,,2.96,1980,1,1,Tuesday
1980-01-16,0.1937,0.1937,0.1888,0.1888,12033600,-3.2291,0.0049,,,,0.1945,0.193,0.0015,0.0017,,,,,,-0.37,1980,1,1,Wednesday
1980-01-17,0.1888,0.1909,0.1846,0.1853,4377600,-1.8538,0.0063,,,,0.1931,0.1925,0.0006,0.0015,,,,,,-2.22,1980,1,1,Thursday
1980-01-18,0.1853,0.1867,0.1839,0.1846,5121600,-0.3778,0.0028,,,,0.1918,0.1919,-0.0001,0.0011,,,,,,-2.59,1980,1,1,Friday
1980-01-21,0.1853,0.1895,0.1853,0.1881,3892800,1.896,0.0042,,,,0.1912,0.1916,-0.0004,0.0008,,,,,,-0.74,1980,1,1,Monday
1980-01-22,0.1881,0.1909,0.186,0.186,6724800,-1.1164,0.0049,,,,0.1904,0.1912,-0.0008,0.0005,,,,44.44,,-1.85,1980,1,1,Tuesday
1980-01-23,0.186,0.1881,0.1853,0.1867,6244800,0.3763,0.0028,,,,0.1899,0.1909,-0.001,0.0002,,,,35.9,,-1.48,1980,1,1,Wednesday
1980-01-24,0.1867,0.1874,0.1832,0.1853,11179200,-0.7499,0.0042,,,,0.1892,0.1904,-0.0012,-0.0001,,,,28.95,,-2.22,1980,1,1,Thursday
1980-01-25,0.1853,0.1853,0.1839,0.1853,9028800,0.0,0.0014,,,,0.1886,0.1901,-0.0015,-0.0004,,,,29.73,,-2.22,1980,1,1,Friday
1980-01-28,0.1853,0.1944,0.1853,0.1916,15187200,3.3999,0.0091,,,,0.189,0.1902,-0.0012,-0.0005,,,,40.91,,1.11,1980,1,1,Monday
1980-01-29,0.1923,0.1958,0.1923,0.1944,15969600,1.4614,0.0035,0.192,,,0.1899,0.1905,-0.0006,-0.0005,0.2028,0.1812,0.0216,43.48,7673280,2.59,1980,1,1,Tuesday
1980-01-30,0.1944,0.1972,0.1944,0.1965,7065600,1.0802,0.0028,0.1923,,,0.1909,0.1909,0.0,-0.0004,0.2032,0.1814,0.0218,46.94,7854000,3.69,1980,1,1,Wednesday
1980-01-31,0.1972,0.2014,0.1972,0.1972,8971200,0.3562,0.0042,0.1925,,,0.1919,0.1914,0.0005,-0.0002,0.2036,0.1814,0.0222,46.94,8104560,4.06,1980,1,1,Thursday
